Timestep,Probs
1,"[0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015]"
2,"[0.25789473786526146, 0.26315789361191516, 0.2526315789306957, 0.023684211501810097, 0.2026315780903167]"
3,"[0.0003567638947355898, 0.07525572230509983, 0.8242338102575509, 0.024992058075490327, 0.07516164546712431]"
4,"[3.4712519587046464e-6, 0.21428732591475155, 0.6428515640903703, 4.207754515429507e-12, 0.14285763873871368]"
5,"[1.967191992164013e-13, 8.329345252747033e-5, 0.99986994530901, 1.2544299037362828e-20, 4.676123826504382e-5]"
6,"[7.911897480619411e-17, 1.959064143986419e-10, 0.9999999998036915, 1.1275001825220698e-15, 4.0738360127708723e-13]"
7,"[1.44101147460873e-28, 1.2880794327274283e-19, 1.0000000000000016, 4.694855301490568e-24, 3.399072420522877e-21]"
8,"[2.841728308056973e-23, 2.4198181738546025e-13, 0.9999999999032477, 4.585024191207578e-12, 9.194038990335279e-11]"
9,"[6.757495134827358e-40, 2.6996626112611616e-22, 0.9999999999999942, 9.74570765863562e-20, 1.9492835352813846e-19]"
10,"[3.053110552238287e-55, 1.5897933081513175e-32, 0.9999999999999942, 1.0902802740334394e-28, 2.2379437201208856e-28]"
11,"[2.6209148997650086e-69, 6.419669638145801e-39, 0.9999999999999942, 2.317483055008928e-36, 1.5898055054300357e-32]"
12,"[2.2499004848594487e-83, 3.7799035191978625e-49, 0.9999999999999942, 2.5926347825546747e-45, 8.366113472951908e-34]"
13,"[6.972377628106022e-95, 2.225623718569734e-59, 0.9999999999999942, 1.5265552795345508e-55, 3.3787475674132008e-40]"
14,"[2.8158719130803385e-101, 8.988427839798666e-66, 0.9999999999999942, 1.171380882232766e-60, 4.926006075832126e-44]"
15,"[2.160720001442838e-106, 4.730751494630836e-67, 0.9999999999999892, 6.165162538067135e-62, 2.592634776753728e-45]"
16,"[4.212496596828871e-114, 4.854199321052003e-76, 1.000000000000004, 1.074387157307492e-60, 4.518118525722232e-44]"
17,"[1.5394217947398106e-12, 1.5394217947398215e-12, 0.006495050286079485, 0.4967524748554208, 0.4967524748554208]"
18,"[0.0, 3.4380300934595265e-17, 2.3581448411038833e-13, 0.0027624309392258167, 0.9972375690605367]"
19,"[0.0, 8.19811905222273e-34, 3.856877333547015e-26, 2.125584551693574e-8, 0.9999999787441495]"
